x,v-velocity
0.0,0.0
0.025000000000000001,0.033917955217610214
0.050000000000000003,0.062671632837566008
0.074999999999999997,0.085973625733887823
0.10000000000000001,0.10454470870856432
0.125,0.11897613682380674
0.14999999999999999,0.12980820575757676
0.17499999999999999,0.13756109939645245
0.20000000000000001,0.14267381769723261
0.22500000000000001,0.14549481014029361
0.25,0.14635699081149503
0.27500000000000002,0.14544569470868582
0.29999999999999999,0.14283290827294368
0.32500000000000001,0.13860760813034215
0.34999999999999998,0.13275080772712264
0.375,0.12515229007684694
0.40000000000000002,0.1157354342022686
0.42499999999999999,0.10439167880010718
0.45000000000000001,0.090972116056315472
0.47499999999999998,0.075370932072491043
0.5,0.057521705338084123
0.52500000000000002,0.037394512229140232
0.55000000000000004,0.015034512057043552
0.57499999999999996,-0.0094073355604354109
0.59999999999999998,-0.0356377847482474
0.625,-0.063224689280793195
0.65000000000000002,-0.091565101058925402
0.67500000000000004,-0.11977929977891649
0.69999999999999996,-0.14681328325699994
0.72499999999999998,-0.1714370978180545
0.75,-0.19210863258068991
0.77500000000000002,-0.20732137673631351
0.80000000000000004,-0.21562436505854862
0.82499999999999996,-0.2156315643313646
0.84999999999999998,-0.20661705153339444
0.875,-0.18831027246318888
0.90000000000000002,-0.1613026386634491
0.92500000000000004,-0.1268473912795586
0.94999999999999996,-0.08703645068637289
0.97499999999999998,-0.043910243925674858
1.0,0.0
